,0,1,2,3,4
10,[야간개장] 5.18 광주민주화운동 40주년 연계 프로그램,2020-06-05,https://gwangju.museum.go.kr/cmm/fms/getImage.do?atchFileId=FILE_000000016231Uk2&fileSn=0&kind=920,https://gwangju.museum.go.kr/prog/event/kor/sub03_03/view.do?cntNo=67,국립광주박물관
11,[기타행사] 광주의 진실을 세상에 알리는 방탈출 체험공간 '518527',2020-05-18,https://gwangju.museum.go.kr/cmm/fms/getImage.do?atchFileId=FILE_000000015742Nx4&fileSn=0&kind=920,https://gwangju.museum.go.kr/prog/event/kor/sub03_03/view.do?cntNo=68,국립광주박물관
12,[유아] 쏙쏙! 상상 동물 여행,2020-06-25,https://gwangju.museum.go.kr/cmm/fms/getImage.do?atchFileId=FILE_000000014797Lt2&fileSn=0&kind=920,https://gwangju.museum.go.kr/prog/education/kor/sub03_02/view.do?cntNo=112&subCntNo=177,국립광주박물관
13,[초등] 제14기 광주어린이박물관학교,2020-06-13 ~ 2020-12-12,https://gwangju.museum.go.kr/cmm/fms/getImage.do?atchFileId=FILE_000000014930Nu1&fileSn=0&kind=920,https://gwangju.museum.go.kr/prog/education/kor/sub03_02/view.do?cntNo=113&subCntNo=176,국립광주박물관
14,[성인] 박물관 공방-온기 담은 옹기,2020-06-11 ~ 2020-08-27,https://gwangju.museum.go.kr/cmm/fms/getImage.do?atchFileId=FILE_000000009378Vd5&fileSn=0&kind=920,https://gwangju.museum.go.kr/prog/education/kor/sub03_02/view.do?cntNo=42&subCntNo=91,국립광주박물관
15,[초등]교과서 속 문화재 이야기,2020-03 ~ 2020-11,https://daegu.museum.go.kr/atchfile/imageAtchfile.do?atckey_1st=RSVEDU&atckey_2nd=CDIDX00024&atckey_3rd=93&atckey_4th=1&vchkcode=2BZVs99F,https://daegu.museum.go.kr/resvetcman/resvetcmanView.do?rsv_gb=CDIDX00024&rsv_no=93&program_type=current&menu_nix=612uAlt2&pageIndex=1,국립대구박물관
16,[유아]개구쟁이들의 박물관 여행,2020-03 ~ 2020-11,https://daegu.museum.go.kr/atchfile/imageAtchfile.do?atckey_1st=RSVEDU&atckey_2nd=CDIDX00024&atckey_3rd=94&atckey_4th=1&vchkcode=iGW62w32,https://daegu.museum.go.kr/resvetcman/resvetcmanView.do?rsv_gb=CDIDX00024&rsv_no=94&program_type=current&menu_nix=612uAlt2&pageIndex=1,국립대구박물관
17,[문화체험]중국 광시 직금 문양 채색,2020-06-04 ~ 2020-06-25,https://daegu.museum.go.kr/atchfile/imageAtchfile.do?atckey_1st=RSVEDU&atckey_2nd=CDIDX00025&atckey_3rd=291&atckey_4th=1&vchkcode=H9l0dfHZ,https://daegu.museum.go.kr/resvetcman/resvetcmanView.do?rsv_gb=CDIDX00025&rsv_no=291&program_type=current&menu_nix=27ZH2fDz&pageIndex=1,국립대구박물관
18,[문화체험]양말 목 공예 체험,2020-06-06 ~ 2020-06-20,https://daegu.museum.go.kr/atchfile/imageAtchfile.do?atckey_1st=RSVEDU&atckey_2nd=CDIDX00025&atckey_3rd=297&atckey_4th=1&vchkcode=0H4Dv1E7,https://daegu.museum.go.kr/resvetcman/resvetcmanView.do?rsv_gb=CDIDX00025&rsv_no=297&program_type=current&menu_nix=27ZH2fDz&pageIndex=1,국립대구박물관
19,"[초등]제17기 부여어린이박물관학교 ""박물관 상상 탐험대""",2020-03 ~ 2020-11,http://buyeo.museum.go.kr/atchfile/imageAtchfile.do?atckey_1st=RSVEDUINFO&atckey_2nd=CDIDX00082&atckey_3rd=64&atckey_4th=1&vchkcode=Vr296zX0,http://buyeo.museum.go.kr/resvetcman/resvdftapplInfoList.do?rsv_gb=CDIDX00042&menu_user_se=3&rsv_class=CDIDX00082&menu_nix=MC5o367f,국립부여박물관
20,"[어린이]문화가 있는 날 ""백제의 무늬, 탑본체험교실""",2020-01 ~ 2020-12,http://buyeo.museum.go.kr/atchfile/imageAtchfile.do?atckey_1st=RSVEDUINFO&atckey_2nd=CDIDX00082&atckey_3rd=72&atckey_4th=1&vchkcode=LPl4Mk5N,http://buyeo.museum.go.kr/resvetcman/resvdftapplInfoList.do?rsv_gb=CDIDX00042&menu_user_se=3&rsv_class=CDIDX00082&menu_nix=MC5o367f&info_no=72,국립부여박물관
21,"[어린이]""매직홀 탐험대, 향로 속 빛을 찾아라!""",2020-02-01 ~ 2020-03-01,http://buyeo.museum.go.kr/atchfile/imageAtchfile.do?atckey_1st=RSVEDUINFO&atckey_2nd=CDIDX00083&atckey_3rd=71&atckey_4th=1&vchkcode=5EPNC93F,http://buyeo.museum.go.kr/resvetcman/resvdftapplInfoList.do?rsv_gb=CDIDX00042&menu_user_se=3&rsv_class=CDIDX00083&menu_nix=3Kow0I70,국립부여박물관
22,글로벌 백제 인문학 강좌,2020-06 ~ 2020-08,http://buyeo.museum.go.kr/atchfile/imageAtchfile.do?atckey_1st=RSVEDUINFO&atckey_2nd=CDIDX00085&atckey_3rd=75&atckey_4th=1&vchkcode=s2kzii1e,http://buyeo.museum.go.kr/resvetcman/resvdftapplInfoList.do?rsv_gb=CDIDX00042&menu_user_se=3&rsv_class=CDIDX00085&menu_nix=1fY176W9,국립부여박물관
23,2020 인문학 명사 특강,2020-03 ~ 2020-10,http://buyeo.museum.go.kr/atchfile/imageAtchfile.do?atckey_1st=RSVEDUINFO&atckey_2nd=CDIDX00085&atckey_3rd=42&atckey_4th=1&vchkcode=B254BB76,http://buyeo.museum.go.kr/resvetcman/resvdftapplInfoList.do?rsv_gb=CDIDX00042&menu_user_se=3&rsv_class=CDIDX00085&menu_nix=1fY176W9&info_no=42,국립부여박물관
24,[초/중/고]알아보며 즐기는 박물관 한바퀴,2020-03 ~ 2020-11,http://buyeo.museum.go.kr/atchfile/imageAtchfile.do?atckey_1st=RSVEDUINFO&atckey_2nd=CDIDX00084&atckey_3rd=62&atckey_4th=1&vchkcode=0KAY3090,http://buyeo.museum.go.kr/resvetcman/resvdftapplInfoList.do?rsv_gb=CDIDX00042&menu_user_se=3&rsv_class=CDIDX00084&menu_nix=8Lq055q5,국립부여박물관
25,[초등]신나는 향로 놀이터!,2020-03 ~ 2020-11,http://buyeo.museum.go.kr/atchfile/imageAtchfile.do?atckey_1st=RSVEDUINFO&atckey_2nd=CDIDX00084&atckey_3rd=61&atckey_4th=1&vchkcode=ehw5NfjJ,http://buyeo.museum.go.kr/resvetcman/resvdftapplInfoList.do?rsv_gb=CDIDX00042&menu_user_se=3&rsv_class=CDIDX00084&menu_nix=8Lq055q5&info_no=61,국립부여박물관
26,[초/중/고]보고 듣고 느끼는 호기심박물관,2020-03 ~ 2020-11,http://buyeo.museum.go.kr/atchfile/imageAtchfile.do?atckey_1st=RSVEDUINFO&atckey_2nd=CDIDX00084&atckey_3rd=60&atckey_4th=1&vchkcode=zQt9RE9Q,http://buyeo.museum.go.kr/resvetcman/resvdftapplInfoList.do?rsv_gb=CDIDX00042&menu_user_se=3&rsv_class=CDIDX00084&menu_nix=8Lq055q5&info_no=60,국립부여박물관
27,[중/고]2020 학예연구사가 되어 전시체험!,2020-03 ~ 2020-11,http://buyeo.museum.go.kr/atchfile/imageAtchfile.do?atckey_1st=RSVEDUINFO&atckey_2nd=CDIDX00084&atckey_3rd=59&atckey_4th=1&vchkcode=dpdX2jK1,http://buyeo.museum.go.kr/resvetcman/resvdftapplInfoList.do?rsv_gb=CDIDX00042&menu_user_se=3&rsv_class=CDIDX00084&menu_nix=8Lq055q5&info_no=59,국립부여박물관
28,"[문화나눔]희망박물관, 더불어 좋은 세상",2020-02 ~ 2020-11,http://buyeo.museum.go.kr/atchfile/imageAtchfile.do?atckey_1st=RSVEDUINFO&atckey_2nd=CDIDX00086&atckey_3rd=67&atckey_4th=1&vchkcode=T7fYOIBE,http://buyeo.museum.go.kr/resvetcman/resvdftapplInfoList.do?rsv_gb=CDIDX00042&menu_user_se=3&rsv_class=CDIDX00086&menu_nix=2N6A32l0,국립부여박물관
29,[문화나눔]외국인 대상 '한국의 色 · 香 · 美',2020-04 ~ 2020-11,http://buyeo.museum.go.kr/atchfile/imageAtchfile.do?atckey_1st=RSVEDUINFO&atckey_2nd=CDIDX00086&atckey_3rd=74&atckey_4th=1&vchkcode=8I7cfePs,http://buyeo.museum.go.kr/resvetcman/resvdftapplInfoList.do?rsv_gb=CDIDX00042&menu_user_se=3&rsv_class=CDIDX00086&menu_nix=2N6A32l0&info_no=74,국립부여박물관
